No. Urut	shs	ddzh	ffg	hzsh	NAMA	djzdjd	DGSDG
89188	51	08			Kab Buleleng	2	54232
89189	51	08	01		Gerokgak	3	89188
89190	51	08	01	2001	Sumber Kelampok	4	89189
89191	51	08	01	2002	Pejarakan	4	89189
89192	51	08	01	2003	Sumberkima	4	89189
89193	51	08	01	2004	Pemuteran	4	89189
89194	51	08	01	2005	Banyupoh	4	89189
89195	51	08	01	2006	Penyambangan	4	89189
89196	51	08	01	2007	Musi	4	89189
89197	51	08	01	2008	Sanggalangit	4	89189
89198	51	08	01	2009	Gerokgak	4	89189
89199	51	08	01	2010	Patas	4	89189
89200	51	08	01	2011	Pengulon	4	89189
89201	51	08	01	2012	Tinga-tinga	4	89189
89202	51	08	01	2013	Celukan Bawang	4	89189
89203	51	08	01	2014	Tukad Sumaga	4	89189
89204	51	08	02		Seririt	3	89188
89205	51	08	02	1015	Seririt	4	89204
89206	51	08	02	2001	Unggahan	4	89204
89207	51	08	02	2002	Ularan	4	89204
89208	51	08	02	2003	Ringdikit	4	89204
89209	51	08	02	2004	Rangdu	4	89204
89210	51	08	02	2005	Mayong	4	89204
89211	51	08	02	2006	Gunung Sari	4	89204
89212	51	08	02	2007	Munduk Bestala	4	89204
89213	51	08	02	2008	Bestala	4	89204
89214	51	08	02	2009	Kalianget	4	89204
89215	51	08	02	2010	Joanyar	4	89204
89216	51	08	02	2011	Tanggusia	4	89204
89217	51	08	02	2012	Sulanyah	4	89204
89218	51	08	02	2013	Bubunan	4	89204
89219	51	08	02	2014	Petemon	4	89204
89220	51	08	02	2016	Pengastulan	4	89204
89221	51	08	02	2017	Kalo Paksa	4	89204
89222	51	08	02	2018	Pangkung Paruk	4	89204
89223	51	08	02	2019	Banjarasem	4	89204
89224	51	08	02	2020	Kalisada	4	89204
89225	51	08	02	2021	Umeanyar	4	89204
89226	51	08	03		Busung biu	3	89188
89227	51	08	03	2001	Sepang	4	89226
89228	51	08	03	2002	Tista	4	89226
89229	51	08	03	2003	Bongancina	4	89226
89230	51	08	03	2004	Pucaksari	4	89226
89231	51	08	03	2005	Telaga	4	89226
89232	51	08	03	2006	Titab	4	89226
89233	51	08	03	2007	Subuk	4	89226
89234	51	08	03	2008	Tinggasari	4	89226
89235	51	08	03	2009	Kedis	4	89226
89236	51	08	03	2010	Kekeran	4	89226
89237	51	08	03	2011	Busungbiu	4	89226
89238	51	08	03	2012	Pelapuan	4	89226
89239	51	08	03	2013	Bengkel	4	89226
89240	51	08	03	2014	Umejero	4	89226
89241	51	08	03	2015	Sepang Kelod	4	89226
89242	51	08	04		Banjar	3	89188
89243	51	08	04	2001	Banyuseri	4	89242
89244	51	08	04	2002	Tirtasari	4	89242
89245	51	08	04	2003	Kayuputih	4	89242
89246	51	08	04	2004	Banyatis	4	89242
89247	51	08	04	2005	Gesing	4	89242
89248	51	08	04	2006	Munduk	4	89242
89249	51	08	04	2007	Gobleg	4	89242
89250	51	08	04	2008	Pedawa	4	89242
89251	51	08	04	2009	Cempaga	4	89242
89252	51	08	04	2010	Sidetapa	4	89242
89253	51	08	04	2011	Tampekan	4	89242
89254	51	08	04	2012	Banjar Tegeha	4	89242
89255	51	08	04	2013	Banjar	4	89242
89256	51	08	04	2014	Dencarik	4	89242
89257	51	08	04	2015	Temukus	4	89242
89258	51	08	04	2016	Tigawasa	4	89242
89259	51	08	04	2017	Kaliasem	4	89242
89260	51	08	05		Sukasada	3	89188
89261	51	08	05	1009	Sukasada	4	89260
89262	51	08	05	2001	Pancasari	4	89260
89263	51	08	05	2002	Wanagiri	4	89260
89264	51	08	05	2003	Ambengan	4	89260
89265	51	08	05	2004	Gitgit	4	89260
89266	51	08	05	2005	Pegayaman	4	89260
89267	51	08	05	2006	Silangjana	4	89260
89268	51	08	05	2007	Pegadungan	4	89260
89269	51	08	05	2008	Padangbulia	4	89260
89270	51	08	05	2010	Sambangan	4	89260
89271	51	08	05	2011	Panji	4	89260
89272	51	08	05	2012	Panji Anom	4	89260
89273	51	08	05	2013	Tegallinggah	4	89260
89274	51	08	05	2014	Selat	4	89260
89275	51	08	05	2015	Kayu Putih	4	89260
89276	51	08	06		Buleleng	3	89188
89277	51	08	06	1020	Penarukan	4	89276
89278	51	08	06	1009	Paket Agung	4	89276
89279	51	08	06	1011	Liligundi	4	89276
89280	51	08	06	1008	Kendran	4	89276
89281	51	08	06	1010	Kampung Singaraja	4	89276
89282	51	08	06	1021	Kampung Kajanan	4	89276
89283	51	08	06	1026	Kampung Bugis	4	89276
89284	51	08	06	1029	Kampung Baru	4	89276
89285	51	08	06	1025	Kampung Anyar	4	89276
89286	51	08	06	1024	Kaliuntu	4	89276
89287	51	08	06	1012	Beratan	4	89276
89288	51	08	06	1019	Banyuning	4	89276
89289	51	08	06	1006	Banyuasari	4	89276
89290	51	08	06	1007	Banjar Tegal	4	89276
89291	51	08	06	1023	Banjar Jawa	4	89276
89292	51	08	06	1027	Banjar Bali	4	89276
89293	51	08	06	1022	Astina	4	89276
89294	51	08	06	2001	Kalibukbuk	4	89276
89295	51	08	06	2002	Anturan	4	89276
89296	51	08	06	2003	Tukad Mungga	4	89276
89297	51	08	06	2004	Pemaron	4	89276
89298	51	08	06	2005	Bakti Seraga	4	89276
89299	51	08	06	2013	Sarimekar	4	89276
89300	51	08	06	2014	Naga Sepaha	4	89276
89301	51	08	06	2015	Petandakan	4	89276
89302	51	08	06	2016	Alasangker	4	89276
89303	51	08	06	2017	Poh Bengong	4	89276
89304	51	08	06	2018	Jineng Dalem	4	89276
89305	51	08	06	2028	Pengelatan	4	89276
89306	51	08	07		Sawan	3	89188
89307	51	08	07	2001	Lemukih	4	89306
89308	51	08	07	2002	Galungan	4	89306
89309	51	08	07	2003	Sekumpul	4	89306
89310	51	08	07	2004	Bebetin	4	89306
89311	51	08	07	2005	Sudaji	4	89306
89312	51	08	07	2006	Sawan	4	89306
89313	51	08	07	2007	Menyali	4	89306
89314	51	08	07	2008	Suwug	4	89306
89315	51	08	07	2009	Jagaraga	4	89306
89316	51	08	07	2010	Sinabun	4	89306
89317	51	08	07	2011	Kerobokan	4	89306
89318	51	08	07	2012	Sangsit	4	89306
89319	51	08	07	2013	Bungkulan	4	89306
89320	51	08	07	2014	Giri Emas	4	89306
89321	51	08	08		Kubutambahan	3	89188
89322	51	08	08	2001	Tambakan	4	89321
89323	51	08	08	2002	Pakisan	4	89321
89324	51	08	08	2003	Bontihing	4	89321
89325	51	08	08	2004	Tajun	4	89321
89326	51	08	08	2005	Tunjung	4	89321
89327	51	08	08	2006	Depehe	4	89321
89328	51	08	08	2007	Tamblang	4	89321
89329	51	08	08	2008	Bulian	4	89321
89330	51	08	08	2009	Bila	4	89321
89331	51	08	08	2010	Bengkala	4	89321
89332	51	08	08	2011	Kubutambahan	4	89321
89333	51	08	08	2012	Bukti	4	89321
89334	51	08	08	2013	Mengening	4	89321
89335	51	08	09		Tejakula	3	89188
89336	51	08	09	2001	Sembiran	4	89335
89337	51	08	09	2002	Pacung	4	89335
89338	51	08	09	2003	Julah	4	89335
89339	51	08	09	2004	Madenan	4	89335
89340	51	08	09	2005	Bondalem	4	89335
89341	51	08	09	2006	Tejakula	4	89335
89342	51	08	09	2007	Les	4	89335
89343	51	08	09	2008	Penuktukan	4	89335
89344	51	08	09	2009	Sambirenteng	4	89335
89345	51	08	09	2010	Tembok	4	89335
